--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
1.000000,3.000000,139.488880,228.977760,100.956800
1.000000,3.100000,143.963324,233.452204,103.504640
1.000000,3.200000,148.437768,237.926648,106.052480
1.000000,3.300000,152.912212,242.401092,108.600320
1.000000,3.400000,157.386656,246.875536,111.148160
1.000000,3.500000,161.861100,251.349980,113.696000
1.000000,3.600000,166.335544,255.824424,116.243840
1.000000,3.700000,170.809988,260.298868,118.791680
1.000000,3.800000,175.284432,264.773312,121.339520
1.000000,3.900000,179.758876,269.247756,123.887360
1.000000,4.000000,184.233320,273.722200,126.435200
1.000000,4.100000,188.707764,278.196644,128.983040
1.000000,4.200000,193.182208,282.671088,131.530880
1.000000,4.300000,197.656652,287.145532,134.078720
1.000000,4.400000,202.131096,291.619976,136.626560
1.000000,4.500000,206.605540,296.094420,139.174400
1.000000,4.600000,211.079984,300.568864,141.722240
1.000000,4.700000,215.554428,305.043308,144.270080
1.000000,4.800000,220.028872,309.517752,146.817920
1.000000,4.900000,224.503316,313.992196,149.365760
1.100000,3.000000,140.014436,238.452204,103.408960
1.100000,3.100000,144.488880,242.926648,105.956800
1.100000,3.200000,148.963324,247.401092,108.504640
1.100000,3.300000,153.437768,251.875536,111.052480
1.100000,3.400000,157.912212,256.349980,113.600320
1.100000,3.500000,162.386656,260.824424,116.148160
1.100000,3.600000,166.861100,265.298868,118.696000
1.100000,3.700000,171.335544,269.773312,121.243840
1.100000,3.800000,175.809988,274.247756,123.791680
1.100000,3.900000,180.284432,278.722200,126.339520
1.100000,4.000000,184.758876,283.196644,128.887360
1.100000,4.100000,189.233320,287.671088,131.435200
1.100000,4.200000,193.707764,292.145532,133.983040
1.100000,4.300000,198.182208,296.619976,136.530880
1.100000,4.400000,202.656652,301.094420,139.078720
1.100000,4.500000,207.131096,305.568864,141.626560
1.100000,4.600000,211.605540,310.043308,144.174400
1.100000,4.700000,216.079984,314.517752,146.722240
1.100000,4.800000,220.554428,318.992196,149.270080
1.100000,4.900000,225.028872,323.466640,151.817920
1.200000,3.000000,140.539992,247.926648,105.861120
1.200000,3.100000,145.014436,252.401092,108.408960
1.200000,3.200000,149.488880,256.875536,110.956800
1.200000,3.300000,153.963324,261.349980,113.504640
1.200000,3.400000,158.437768,265.824424,116.052480
1.200000,3.500000,162.912212,270.298868,118.600320
1.200000,3.600000,167.386656,274.773312,121.148160
1.200000,3.700000,171.861100,279.247756,123.696000
1.200000,3.800000,176.335544,283.722200,126.243840
1.200000,3.900000,180.809988,288.196644,128.791680
1.200000,4.000000,185.284432,292.671088,131.339520
1.200000,4.100000,189.758876,297.145532,133.887360
1.200000,4.200000,194.233320,301.619976,136.435200
1.200000,4.300000,198.707764,306.094420,138.983040
1.200000,4.400000,203.182208,310.568864,141.530880
1.200000,4.500000,207.656652,315.043308,144.078720
1.200000,4.600000,212.131096,319.517752,146.626560
1.200000,4.700000,216.605540,323.992196,149.174400
1.200000,4.800000,221.079984,328.466640,151.722240
1.200000,4.900000,225.554428,332.941084,154.270080
1.300000,3.000000,141.065548,257.401092,108.313280
1.300000,3.100000,145.539992,261.875536,110.861120
1.300000,3.200000,150.014436,266.349980,113.408960
1.300000,3.300000,154.488880,270.824424,115.956800
1.300000,3.400000,158.963324,275.298868,118.504640
1.300000,3.500000,163.437768,279.773312,121.052480
1.300000,3.600000,167.912212,284.247756,123.600320
1.300000,3.700000,172.386656,288.722200,126.148160
1.300000,3.800000,176.861100,293.196644,128.696000
1.300000,3.900000,181.335544,297.671088,131.243840
1.300000,4.000000,185.809988,302.145532,133.791680
1.300000,4.100000,190.284432,306.619976,136.339520
1.300000,4.200000,194.758876,311.094420,138.887360
1.300000,4.300000,199.233320,315.568864,141.435200
1.300000,4.400000,203.707764,320.043308,143.983040
1.300000,4.500000,208.182208,324.517752,146.530880
1.300000,4.600000,212.656652,328.992196,149.078720
1.300000,4.700000,217.131096,333.466640,151.626560
1.300000,4.800000,221.605540,337.941084,154.174400
